type_stands,X,Y,Easting,Northing,location_stand,no_stands
Stainless Steel Curved,-6.264417171,53.34207047,315647.646,233804.604,"Fade street, outside hogans bar",3
Stainless Steel Curved,-6.233445704,53.34433076,317704.081,234106.733,Benson street,8
Stainless Steel Curved,-6.236972809,53.34497847,317467.413,234173.004,Horse fair,8
Sheffield Stand,-6.287840903,53.35609622,314050.203,235327.753,Prussia street,4
Sheffield Stand,-6.262051463,53.3428119,315803.19,233890.945,"Start of South William street, outside jewl in the crown",7
Sheffield Stand,-6.26450032,53.35301127,315612.501,235021.986, Parnell square west outside the rotunda hospital ,8
Sheffield Stand,-6.290662587,53.34183507,313900.354,233736.23,,4
Sheffield Stand,-6.279795617,53.34779341,314608.107,234416.675,"Queen street, probation service ",10
Sheffield Stand,-6.270240247,53.34315219,315256.918,233915.567,"Christ church place, outside sunny's newsagent",6
Sheffield Stand,-6.265384108,53.33649172,315598.337,233182.223,"Wexford street, outside solo clothes shop.",3
Sheffield Stand,-6.276079416,53.34295923,314868.564,233884.686,Francis street outside reillys pharmacy ,3
Sheffield Stand,-6.293238848,53.34612577,313717.358,234209.605,Houston train station,8
Sheffield Stand,-6.251306534,53.33771531,316532.673,233341.264,"Top of baggot street lower, end of pembroke street lower",5
Sheffield Stand,-6.264303178,53.34296563,315652.815,233904.404,"Edge of exchequer street, outside pharmacy and rustic stone",13
Sheffield Stand,-6.267253608,53.34496807,315450.914,234122.466,"Essex street, outside zaytoon",4
Sheffield Stand,-6.26409933,53.3442603,315662.887,234048.808,"Dame street,  outside Nico's restaurant",5
Sheffield Stand,-6.260648668,53.34896464,315879.927,234577.911,"Prince's street north, outside penny's.",5
Sheffield Stand,-6.252918541,53.34181265,316414.144,233794.595,Leinster street south outside TCD Leinster street,5
Railing,-6.266168654,53.33863779,315540.279,233419.773,Aungier street outside DIT,4
Railing,-6.267496347,53.34391522,315437.593,234004.91,Start of castle street,4
Railing,-6.258029491,53.34132903,316075.072,233732.458,"Molesworth street, ",4
Sheffield Stand,-6.265747547,53.35051289,315536.215,234741.942,Parnell Streer outside Aldi,11
Sheffield Stand,-6.260790825,53.34894062,315870.526,234575.007,"Prince's street north, outside penny's",18
Sheffield Stand,-6.250971258,53.35126939,316518.041,234850.136,Talbot street outside wake cup,12
Sheffield Stand,-6.269926429,53.35090915,315256.892,234779.286,"Capel Street, outside The Horse Shoe shop",6
Sheffield Stand,-6.263267845,53.35177931,315697.898,234886.887,Parnell street outside king fisher restraunt.,4
Sheffield Stand,-6.263511926,53.34102076,315710.776,233689.256,"Johnstone place, outside pharmacy",6
Sheffield Stand,-6.265024692,53.33286797,315632.078,232779.547,"Camden street upper, outside damascus gate restaurant ",8
Sheffield Stand,-6.262032688,53.34383996,315801.655,234005.381,"Trinity street, outside jack jones shop",4
Sheffield Stand,-6.263313442,53.34680228,315708.34,234332.958,"End of Liffey street lower, outside the grand social",4
Sheffield Stand,-6.272449046,53.33910542,315120.718,233461.67,End of Patricia street outside spar,5
Sheffield Stand,-6.269899607,53.34332353,315279.141,233935.184,"Start of westborough street, beside the butchers bar",14
Sheffield Stand,-6.29202649,53.34690716,313796.011,234298.491,Heuston Luas stop,16
Sheffield Stand,-6.288935244,53.34351569,314010.91,233926.01,James street outside McCanns pub,3
Sheffield Stand,-6.280841678,53.34319623,314550.773,233903.411,Thomas street outside Massey bros funeral home,4
Sheffield Stand,-6.265047491,53.34538679,315596.696,234172.631,"Essex street east, outside costa cafe.",8
Sheffield Stand,-6.264875829,53.34536358,315608.191,234170.326,"Eustace street, outside the orseman pub",4
Sheffield Stand,-6.263965219,53.3450073,315669.796,234132.153,"Cecilia street, outside temple lane recording studios",8
Sheffield Stand,-6.263536066,53.3450113,315698.364,234133.293,"Cecilia street, outside luigi malones restaurant",4
Sheffield Stand,-6.261535138,53.34571905,315829.696,234215.297,"Fleet Street, across from thunder road cafe",8
Sheffield Stand,-6.295009106,53.34846509,313593.252,234467.114,Infirmary road,7
